remitente,asunto,longitud,num_palabras,tiene_link,tiene_dinero,tiene_premio,tiene_saludo,mayusculas_ratio,signos_exclamacion,num_adjuntos,es_largo
usuario61@mail.com,Promoción exclusiva,342,73,0,1,0,0,0.4,7,0,1
usuario62@mail.com,Factura pendiente,351,13,0,0,1,0,0.51,3,0,0
usuario63@mail.com,Promoción exclusiva,401,92,0,1,0,1,0.58,0,2,1
usuario64@mail.com,Novedades del mes,165,63,1,1,0,0,0.91,8,2,1
usuario65@mail.com,Novedades del mes,400,47,1,1,1,0,0.16,8,3,0
usuario66@mail.com,Oferta especial,148,21,0,1,0,1,0.09,3,3,0
usuario67@mail.com,Novedades del mes,88,83,0,1,0,1,0.33,1,1,1
usuario68@mail.com,Reunión mañana,350,77,1,1,1,0,0.38,1,2,1
usuario69@mail.com,Actualización de cuenta,197,42,1,0,0,1,0.52,1,2,0
usuario70@mail.com,Recordatorio de cita,164,47,1,1,1,0,0.85,4,0,0
usuario71@mail.com,Novedades del mes,88,38,0,0,0,0,0.93,5,1,0
usuario72@mail.com,Actualización de cuenta,285,69,0,0,1,0,0.5,0,1,1
usuario73@mail.com,Factura pendiente,133,82,1,1,0,1,0.38,3,1,1
usuario74@mail.com,Factura pendiente,185,49,0,0,0,1,0.23,7,0,0
usuario75@mail.com,Recordatorio de cita,488,23,1,0,1,1,0.87,10,1,0
usuario76@mail.com,Oferta especial,434,29,0,1,0,1,0.88,5,0,0
usuario77@mail.com,Promoción exclusiva,466,61,0,0,0,0,0.65,0,2,1
usuario78@mail.com,Novedades del mes,174,47,0,1,0,1,0.04,4,3,0
usuario79@mail.com,Reunión mañana,390,53,1,0,0,0,0.87,9,2,1
usuario80@mail.com,Actualización de cuenta,76,98,0,1,0,1,0.94,8,0,1
usuario81@mail.com,Factura pendiente,388,11,1,1,0,1,0.68,8,3,0
usuario82@mail.com,Oferta especial,297,67,0,0,0,1,0.6,9,3,1
usuario83@mail.com,Saludos cordiales,275,47,0,0,0,0,0.47,1,2,0
usuario84@mail.com,Oferta especial,154,71,0,1,1,1,0.48,3,2,1
usuario85@mail.com,Recordatorio de cita,431,75,1,1,1,1,0.1,5,1,1
usuario86@mail.com,Aviso de seguridad,129,64,1,0,1,0,0.42,5,3,1
usuario87@mail.com,Promoción exclusiva,316,28,0,0,1,0,0.97,5,1,0
usuario88@mail.com,Aviso de seguridad,90,95,0,1,1,0,0.39,7,0,1
usuario89@mail.com,Promoción exclusiva,136,52,1,0,0,0,0.96,5,2,1
usuario90@mail.com,Novedades del mes,464,82,1,1,1,0,0.74,6,1,1
usuario91@mail.com,Reunión mañana,49,88,0,0,1,0,0.11,7,2,1
usuario92@mail.com,Aviso de seguridad,30,93,1,1,1,1,0.57,10,2,1
usuario93@mail.com,Oferta especial,66,51,0,0,0,0,0.62,10,1,1
usuario94@mail.com,Oferta especial,77,72,1,0,0,1,0.48,2,3,1
usuario95@mail.com,Información importante,473,41,0,1,0,1,0.85,7,1,0
usuario96@mail.com,Oferta especial,174,72,0,1,1,1,0.5,2,0,1
usuario97@mail.com,Actualización de cuenta,413,36,1,1,0,0,0.98,1,1,0
usuario98@mail.com,Aviso de seguridad,82,45,1,0,1,1,0.17,0,1,0
usuario99@mail.com,Aviso de seguridad,434,85,0,0,1,0,0.2,4,0,1
usuario100@mail.com,Actualización de cuenta,88,72,1,0,0,0,0.16,3,3,1
usuario101@mail.com,Factura pendiente,62,66,0,0,0,0,0.08,0,1,1
usuario102@mail.com,Promoción exclusiva,325,48,1,1,1,0,0.47,3,2,0
usuario103@mail.com,Recordatorio de cita,401,22,0,1,1,1,0.6,10,0,0
usuario104@mail.com,Recordatorio de cita,143,27,1,1,0,1,0.11,7,1,0
usuario105@mail.com,Novedades del mes,121,100,1,1,1,1,0.49,3,0,1
usuario106@mail.com,Información importante,193,30,1,0,1,1,0.13,1,1,0
usuario107@mail.com,Información importante,77,25,1,1,1,0,0.26,5,1,0
usuario108@mail.com,Promoción exclusiva,156,23,1,0,1,1,0.57,1,0,0
usuario109@mail.com,Reunión mañana,91,53,0,0,0,0,0.35,5,1,1
usuario110@mail.com,Factura pendiente,127,37,1,1,1,1,0.36,7,2,0
usuario111@mail.com,Información importante,293,82,0,0,1,0,0.05,3,2,1
usuario112@mail.com,Recordatorio de cita,138,37,0,1,1,1,0.66,8,2,0
usuario113@mail.com,Novedades del mes,91,67,0,1,1,1,0.09,10,3,1
usuario114@mail.com,Factura pendiente,277,73,1,1,0,0,0.96,3,0,1
usuario115@mail.com,Información importante,378,94,0,1,1,0,0.81,7,1,1
usuario116@mail.com,Aviso de seguridad,124,24,1,1,1,0,0.74,0,2,0
usuario117@mail.com,Reunión mañana,445,44,0,1,0,0,0.63,4,3,0
usuario118@mail.com,Información importante,104,63,1,1,1,1,0.0,6,3,1
usuario119@mail.com,Saludos cordiales,191,79,1,0,1,0,0.67,10,0,1
usuario120@mail.com,Oferta especial,364,54,0,1,0,0,0.77,5,3,1
usuario121@mail.com,Actualización de cuenta,322,46,1,1,0,0,0.14,4,3,0
usuario122@mail.com,Reunión mañana,70,77,0,1,1,0,0.42,10,2,1
usuario123@mail.com,Oferta especial,426,100,0,1,1,1,0.49,3,0,1
usuario124@mail.com,Factura pendiente,151,83,0,0,1,0,0.92,8,2,1
usuario125@mail.com,Recordatorio de cita,242,20,1,0,1,0,0.79,8,2,0
usuario126@mail.com,Información importante,251,25,1,1,1,0,0.96,5,0,0
usuario127@mail.com,Saludos cordiales,171,14,1,0,1,1,0.6,1,1,0
usuario128@mail.com,Saludos cordiales,245,27,1,1,0,0,0.68,4,2,0
usuario129@mail.com,Recordatorio de cita,497,77,1,1,0,0,0.59,10,3,1
usuario130@mail.com,Promoción exclusiva,495,25,1,1,1,0,0.42,2,0,0
usuario131@mail.com,Novedades del mes,473,48,1,1,0,0,0.42,0,1,0
usuario132@mail.com,Oferta especial,477,67,1,0,0,0,0.47,0,0,1
usuario133@mail.com,Actualización de cuenta,422,9,0,0,0,1,0.03,6,0,0
usuario134@mail.com,Factura pendiente,96,98,0,0,1,1,0.65,10,0,1
usuario135@mail.com,Aviso de seguridad,321,11,0,0,0,0,0.24,5,2,0
usuario136@mail.com,Actualización de cuenta,194,11,1,1,0,0,0.63,3,1,0
usuario137@mail.com,Recordatorio de cita,242,77,1,1,0,0,0.15,6,2,1
usuario138@mail.com,Recordatorio de cita,266,69,1,0,1,1,0.63,3,3,1
usuario139@mail.com,Novedades del mes,87,16,0,1,1,1,0.46,7,3,0
usuario140@mail.com,Reunión mañana,145,56,0,0,0,0,0.39,9,2,1
usuario141@mail.com,Recordatorio de cita,255,75,0,1,1,1,0.84,6,3,1
usuario142@mail.com,Aviso de seguridad,160,89,0,1,1,0,0.93,6,3,1
usuario143@mail.com,Reunión mañana,290,79,0,0,1,0,0.75,0,3,1
usuario144@mail.com,Novedades del mes,87,53,1,1,0,1,0.42,0,3,1
usuario145@mail.com,Promoción exclusiva,385,70,1,0,1,0,0.93,10,3,1
usuario146@mail.com,Novedades del mes,268,33,0,0,0,1,0.91,6,2,0
usuario147@mail.com,Promoción exclusiva,412,98,0,0,0,1,0.29,7,0,1
usuario148@mail.com,Saludos cordiales,382,87,0,1,0,0,0.36,9,0,1
usuario149@mail.com,Saludos cordiales,203,55,1,0,0,0,0.0,1,0,1
usuario150@mail.com,Actualización de cuenta,142,57,1,0,1,0,0.38,5,2,1
usuario151@mail.com,Aviso de seguridad,259,88,1,1,0,0,0.75,9,2,1
usuario152@mail.com,Saludos cordiales,36,61,1,0,0,1,0.97,6,0,1
usuario153@mail.com,Recordatorio de cita,37,82,1,0,1,1,0.24,3,0,1
usuario154@mail.com,Aviso de seguridad,460,29,0,1,1,0,0.04,6,1,0
usuario155@mail.com,Recordatorio de cita,430,55,1,0,0,0,0.93,3,3,1
usuario156@mail.com,Saludos cordiales,192,17,1,1,0,1,0.16,4,3,0
usuario157@mail.com,Novedades del mes,104,100,1,0,0,1,0.92,6,3,1
usuario158@mail.com,Promoción exclusiva,238,5,0,1,1,0,0.42,6,1,0
usuario159@mail.com,Actualización de cuenta,280,19,1,1,0,0,0.29,7,1,0
usuario160@mail.com,Recordatorio de cita,278,50,0,1,1,0,0.17,9,3,0
usuario161@mail.com,Actualización de cuenta,69,73,0,0,0,0,0.38,5,3,1
usuario162@mail.com,Promoción exclusiva,311,21,1,0,0,0,0.01,9,1,0
usuario163@mail.com,Factura pendiente,472,97,0,0,0,1,0.56,4,3,1
usuario164@mail.com,Actualización de cuenta,328,19,1,1,1,0,0.22,10,0,0
usuario165@mail.com,Reunión mañana,439,47,1,0,1,1,0.54,5,3,0
usuario166@mail.com,Saludos cordiales,264,60,0,0,1,1,0.05,10,0,1
usuario167@mail.com,Oferta especial,323,19,0,1,1,0,0.17,1,0,0
usuario168@mail.com,Saludos cordiales,65,10,0,0,0,1,0.77,0,1,0
usuario169@mail.com,Aviso de seguridad,419,95,0,0,0,1,0.79,6,0,1
usuario170@mail.com,Aviso de seguridad,333,32,1,1,0,0,0.68,1,1,0
usuario171@mail.com,Factura pendiente,120,29,0,1,1,1,0.29,8,2,0
usuario172@mail.com,Información importante,85,90,0,1,1,0,0.27,4,2,1
usuario173@mail.com,Promoción exclusiva,249,41,0,0,1,0,0.55,5,0,0
usuario174@mail.com,Recordatorio de cita,97,53,0,1,0,1,0.19,2,0,1
usuario175@mail.com,Saludos cordiales,463,69,1,0,1,1,0.92,1,0,1
usuario176@mail.com,Reunión mañana,88,5,1,1,0,0,0.21,2,0,0
usuario177@mail.com,Novedades del mes,304,72,1,0,0,1,0.75,7,2,1
usuario178@mail.com,Saludos cordiales,459,35,0,1,0,1,0.39,7,3,0
usuario179@mail.com,Aviso de seguridad,108,49,0,1,1,0,0.02,6,0,0
usuario180@mail.com,Información importante,24,77,0,0,1,0,0.11,8,0,1
usuario181@mail.com,Novedades del mes,106,96,0,0,0,0,0.06,0,2,1
usuario182@mail.com,Promoción exclusiva,202,17,1,0,0,1,0.13,6,0,0
usuario183@mail.com,Factura pendiente,497,39,0,1,0,1,0.43,5,0,0
usuario184@mail.com,Información importante,346,48,1,1,0,0,0.28,3,1,0
usuario185@mail.com,Recordatorio de cita,54,13,0,0,0,0,0.29,1,0,0
usuario186@mail.com,Información importante,242,49,0,0,0,1,0.23,2,1,0
usuario187@mail.com,Saludos cordiales,60,24,0,0,0,0,0.7,10,0,0
usuario188@mail.com,Recordatorio de cita,435,28,0,1,1,1,0.53,4,0,0
usuario189@mail.com,Reunión mañana,76,43,0,1,1,0,0.36,2,1,0
usuario190@mail.com,Aviso de seguridad,499,93,1,1,0,1,0.43,10,3,1
usuario191@mail.com,Reunión mañana,411,21,1,1,0,1,0.61,0,1,0
usuario192@mail.com,Promoción exclusiva,248,42,0,1,0,1,0.62,5,3,0
usuario193@mail.com,Información importante,279,6,0,0,0,0,0.2,3,0,0
usuario194@mail.com,Actualización de cuenta,287,91,1,1,0,0,0.09,5,0,1
usuario195@mail.com,Actualización de cuenta,158,42,0,0,0,0,0.23,1,2,0
usuario196@mail.com,Promoción exclusiva,411,92,0,0,1,1,0.7,6,1,1
usuario197@mail.com,Aviso de seguridad,347,62,0,1,1,1,0.19,8,3,1
usuario198@mail.com,Saludos cordiales,334,28,0,1,1,1,0.07,0,0,0
usuario199@mail.com,Factura pendiente,234,58,0,0,1,1,0.21,1,3,1
usuario200@mail.com,Oferta especial,304,73,1,0,1,0,0.66,6,1,1
usuario201@mail.com,Actualización de cuenta,177,55,1,1,0,0,0.33,3,2,1
usuario202@mail.com,Recordatorio de cita,254,61,0,0,0,0,0.64,1,3,1
usuario203@mail.com,Aviso de seguridad,491,66,0,1,0,0,1.0,5,1,1
usuario204@mail.com,Novedades del mes,105,61,1,0,0,1,0.3,3,1,1
usuario205@mail.com,Información importante,386,65,1,1,1,0,0.06,9,0,1
usuario206@mail.com,Saludos cordiales,279,100,0,0,0,0,0.49,8,2,1
usuario207@mail.com,Factura pendiente,233,22,0,1,0,0,0.62,8,0,0
usuario208@mail.com,Recordatorio de cita,421,81,0,0,1,0,0.13,6,0,1
usuario209@mail.com,Actualización de cuenta,422,58,0,1,1,0,0.19,8,0,1
usuario210@mail.com,Actualización de cuenta,321,18,0,0,0,1,0.79,0,3,0
usuario211@mail.com,Promoción exclusiva,248,79,1,0,1,0,0.85,0,0,1
usuario212@mail.com,Actualización de cuenta,208,65,0,1,0,0,0.62,3,2,1
usuario213@mail.com,Promoción exclusiva,386,71,1,0,0,0,0.8,3,3,1
usuario214@mail.com,Aviso de seguridad,439,74,1,1,0,0,0.05,10,3,1
usuario215@mail.com,Actualización de cuenta,475,20,1,0,1,0,0.61,8,1,0
usuario216@mail.com,Información importante,281,74,0,1,0,1,0.42,9,1,1
usuario217@mail.com,Promoción exclusiva,460,58,0,1,0,1,0.94,10,0,1
usuario218@mail.com,Actualización de cuenta,65,17,0,1,1,0,0.96,9,1,0
usuario219@mail.com,Promoción exclusiva,391,20,1,1,0,0,0.17,7,1,0
usuario220@mail.com,Novedades del mes,152,27,0,1,0,0,0.11,6,2,0
usuario221@mail.com,Factura pendiente,40,78,0,0,1,1,0.32,6,1,1
usuario222@mail.com,Actualización de cuenta,437,10,1,0,1,0,0.93,5,0,0
usuario223@mail.com,Oferta especial,288,44,1,0,1,0,0.76,9,3,0
usuario224@mail.com,Reunión mañana,161,96,0,1,0,1,0.07,10,3,1
usuario225@mail.com,Factura pendiente,275,75,0,1,1,1,0.39,7,1,1
usuario226@mail.com,Actualización de cuenta,475,46,0,0,0,0,0.3,4,1,0
usuario227@mail.com,Novedades del mes,402,35,1,1,0,0,0.74,1,3,0
usuario228@mail.com,Reunión mañana,160,8,1,0,1,1,0.68,1,1,0
usuario229@mail.com,Reunión mañana,156,46,1,1,0,1,0.14,9,2,0
usuario230@mail.com,Novedades del mes,387,95,1,0,1,1,0.64,10,0,1
usuario231@mail.com,Actualización de cuenta,352,27,1,1,0,0,0.4,4,1,0
usuario232@mail.com,Información importante,159,44,0,0,1,0,0.89,8,0,0
usuario233@mail.com,Información importante,433,23,0,0,1,0,0.75,6,3,0
usuario234@mail.com,Oferta especial,84,50,0,0,0,1,0.22,3,0,0
usuario235@mail.com,Aviso de seguridad,458,89,0,1,0,0,0.86,7,0,1
usuario236@mail.com,Aviso de seguridad,50,45,1,0,1,1,0.67,5,2,0
usuario237@mail.com,Factura pendiente,297,93,0,1,0,1,0.59,6,2,1
usuario238@mail.com,Promoción exclusiva,387,81,1,1,1,0,0.49,2,1,1
usuario239@mail.com,Actualización de cuenta,480,76,0,0,1,0,0.71,9,1,1
usuario240@mail.com,Saludos cordiales,206,28,1,1,0,0,0.31,6,2,0
usuario241@mail.com,Factura pendiente,390,26,0,0,0,0,0.27,2,1,0
usuario242@mail.com,Factura pendiente,108,67,1,0,1,1,0.5,6,0,1
usuario243@mail.com,Recordatorio de cita,29,6,0,0,1,1,0.68,6,3,0
usuario244@mail.com,Información importante,226,88,0,0,0,1,0.47,2,2,1
usuario245@mail.com,Actualización de cuenta,50,53,0,1,1,1,0.7,8,2,1
usuario246@mail.com,Factura pendiente,58,85,0,1,0,0,0.52,8,1,1
usuario247@mail.com,Información importante,21,55,1,1,0,1,0.34,8,0,1
usuario248@mail.com,Factura pendiente,253,25,0,1,1,0,0.67,8,1,0
usuario249@mail.com,Saludos cordiales,495,74,0,1,0,1,0.19,1,3,1
usuario250@mail.com,Reunión mañana,84,64,0,1,0,1,0.53,7,2,1
usuario251@mail.com,Información importante,87,87,1,1,0,1,0.34,1,2,1
usuario252@mail.com,Información importante,443,16,0,1,1,1,0.39,1,0,0
usuario253@mail.com,Actualización de cuenta,472,42,1,0,1,1,0.81,5,3,0
usuario254@mail.com,Promoción exclusiva,210,58,0,0,1,1,0.89,1,0,1
usuario255@mail.com,Información importante,302,83,0,1,0,0,0.27,3,2,1
usuario256@mail.com,Oferta especial,279,62,0,1,1,0,0.13,9,3,1
usuario257@mail.com,Novedades del mes,180,22,0,0,1,0,0.65,0,3,0
usuario258@mail.com,Saludos cordiales,78,44,1,0,0,0,0.14,8,3,0
usuario259@mail.com,Aviso de seguridad,227,29,0,1,1,0,0.37,1,2,0
usuario260@mail.com,Factura pendiente,346,54,1,0,0,1,0.25,6,1,1
usuario261@mail.com,Recordatorio de cita,173,100,0,0,0,1,0.14,3,1,1
usuario262@mail.com,Factura pendiente,133,28,1,1,0,1,0.55,9,0,0
usuario263@mail.com,Oferta especial,36,56,0,0,0,1,0.47,7,0,1
usuario264@mail.com,Promoción exclusiva,361,73,0,1,1,1,0.32,6,0,1
usuario265@mail.com,Novedades del mes,137,74,1,1,1,0,0.6,6,3,1
usuario266@mail.com,Saludos cordiales,489,26,1,1,1,0,0.81,6,3,0
usuario267@mail.com,Factura pendiente,119,93,0,1,0,1,0.42,4,3,1
usuario268@mail.com,Promoción exclusiva,261,40,1,1,1,0,0.51,4,2,0
usuario269@mail.com,Información importante,91,88,0,1,1,0,0.29,6,3,1
usuario270@mail.com,Aviso de seguridad,271,47,0,0,1,1,0.69,3,0,0
usuario271@mail.com,Factura pendiente,201,47,1,0,0,0,0.79,7,1,0
usuario272@mail.com,Factura pendiente,333,51,0,1,0,1,0.15,2,2,1
usuario273@mail.com,Recordatorio de cita,289,82,1,1,1,1,0.98,4,3,1
usuario274@mail.com,Novedades del mes,164,45,0,1,1,1,0.96,2,3,0
usuario275@mail.com,Aviso de seguridad,280,59,0,1,0,0,0.14,5,0,1
usuario276@mail.com,Factura pendiente,262,97,0,1,0,0,0.6,6,0,1
usuario277@mail.com,Información importante,222,18,1,0,1,0,0.9,9,1,0
usuario278@mail.com,Aviso de seguridad,188,87,0,0,1,0,0.23,2,1,1
usuario279@mail.com,Promoción exclusiva,494,89,0,0,0,1,0.5,5,2,1
usuario280@mail.com,Oferta especial,64,75,0,1,0,0,0.88,5,3,1
usuario281@mail.com,Factura pendiente,256,37,0,1,1,1,0.4,8,0,0
usuario282@mail.com,Reunión mañana,242,20,1,0,1,0,0.83,3,0,0
usuario283@mail.com,Novedades del mes,494,83,0,1,1,0,0.8,9,1,1
usuario284@mail.com,Promoción exclusiva,255,55,0,0,1,1,0.34,5,2,1
usuario285@mail.com,Recordatorio de cita,473,54,0,0,1,1,0.33,10,3,1
usuario286@mail.com,Reunión mañana,288,15,0,0,1,0,0.36,8,1,0
usuario287@mail.com,Recordatorio de cita,224,15,0,1,1,0,0.15,0,3,0
usuario288@mail.com,Novedades del mes,380,57,0,1,1,1,0.27,9,3,1
usuario289@mail.com,Información importante,456,48,1,1,1,0,0.91,8,3,0
usuario290@mail.com,Factura pendiente,53,73,0,0,0,1,0.92,8,0,1
usuario291@mail.com,Novedades del mes,450,68,1,0,1,0,0.32,6,3,1
usuario292@mail.com,Promoción exclusiva,453,72,1,1,0,0,0.73,5,0,1
usuario293@mail.com,Novedades del mes,432,86,0,0,0,1,0.43,5,2,1
usuario294@mail.com,Oferta especial,146,15,0,0,0,0,0.61,8,1,0
usuario295@mail.com,Aviso de seguridad,385,74,0,0,0,0,0.62,4,2,1
usuario296@mail.com,Recordatorio de cita,122,100,1,0,1,1,0.98,1,1,1
usuario297@mail.com,Novedades del mes,434,90,1,1,1,0,0.62,2,0,1
usuario298@mail.com,Novedades del mes,374,53,0,0,0,1,0.9,1,3,1
usuario299@mail.com,Actualización de cuenta,423,44,0,0,1,0,0.0,1,3,0
usuario300@mail.com,Reunión mañana,500,78,1,0,1,0,0.55,5,2,1
usuario301@mail.com,Saludos cordiales,239,26,1,0,0,1,0.26,6,1,0
usuario302@mail.com,Factura pendiente,279,60,1,1,1,1,0.93,1,2,1
usuario303@mail.com,Reunión mañana,321,58,1,0,1,1,0.82,5,3,1
usuario304@mail.com,Oferta especial,158,89,1,0,1,0,0.53,9,0,1
usuario305@mail.com,Novedades del mes,170,92,0,0,0,0,0.11,2,1,1
usuario306@mail.com,Reunión mañana,378,49,0,1,1,0,0.54,9,3,0
usuario307@mail.com,Recordatorio de cita,56,31,1,1,0,0,0.49,1,1,0
usuario308@mail.com,Aviso de seguridad,157,71,1,1,1,0,0.47,7,3,1
usuario309@mail.com,Saludos cordiales,211,62,0,1,0,1,0.14,10,3,1
usuario310@mail.com,Promoción exclusiva,305,81,1,1,1,0,0.19,9,3,1
usuario311@mail.com,Saludos cordiales,247,93,0,0,0,0,0.68,1,2,1
usuario312@mail.com,Actualización de cuenta,160,96,1,1,0,1,0.36,7,2,1
usuario313@mail.com,Factura pendiente,247,45,0,0,0,1,0.98,2,3,0
usuario314@mail.com,Saludos cordiales,454,93,1,1,1,0,0.1,10,0,1
usuario315@mail.com,Reunión mañana,111,54,1,1,0,1,0.04,8,2,1
usuario316@mail.com,Novedades del mes,370,17,1,0,0,0,0.12,6,3,0
usuario317@mail.com,Novedades del mes,405,96,0,0,0,0,0.74,9,2,1
usuario318@mail.com,Oferta especial,108,60,0,0,1,1,0.48,6,0,1
usuario319@mail.com,Aviso de seguridad,262,62,1,0,1,0,0.66,6,3,1
usuario320@mail.com,Saludos cordiales,242,77,1,1,1,0,0.02,0,2,1
usuario321@mail.com,Novedades del mes,383,73,1,1,0,0,0.73,4,1,1
usuario322@mail.com,Saludos cordiales,279,47,0,0,1,1,0.49,10,2,0
usuario323@mail.com,Actualización de cuenta,351,96,0,0,1,0,0.83,9,0,1
usuario324@mail.com,Oferta especial,487,100,1,1,1,0,0.79,3,0,1
usuario325@mail.com,Aviso de seguridad,321,38,0,0,1,0,0.06,2,0,0
usuario326@mail.com,Saludos cordiales,201,68,0,1,0,0,0.2,1,1,1
usuario327@mail.com,Información importante,394,69,0,0,1,1,0.45,3,2,1
usuario328@mail.com,Novedades del mes,229,70,0,1,1,1,0.27,2,3,1
usuario329@mail.com,Saludos cordiales,172,8,0,1,1,0,0.94,5,0,0
usuario330@mail.com,Recordatorio de cita,409,44,1,0,0,1,0.03,0,1,0
usuario331@mail.com,Recordatorio de cita,363,49,0,1,1,1,0.6,1,1,0
usuario332@mail.com,Recordatorio de cita,279,40,1,1,1,0,0.28,0,3,0
usuario333@mail.com,Factura pendiente,335,19,1,0,0,1,0.11,0,2,0
usuario334@mail.com,Factura pendiente,140,66,1,1,1,0,0.03,9,0,1
usuario335@mail.com,Novedades del mes,84,14,0,1,0,0,0.16,7,1,0
usuario336@mail.com,Actualización de cuenta,457,28,1,1,1,1,0.9,7,2,0
usuario337@mail.com,Recordatorio de cita,28,79,1,0,0,0,0.1,4,1,1
usuario338@mail.com,Actualización de cuenta,164,59,1,1,0,1,0.58,8,2,1
usuario339@mail.com,Saludos cordiales,181,85,1,0,0,0,0.23,6,2,1
